time,G(i),H_sun,T2m,WS10m,Int
20110101:0010,0.0,0.0,4.26,1.59,0.0
20110101:0110,0.0,0.0,4.16,1.59,0.0
20110101:0210,0.0,0.0,4.41,1.52,0.0
20110101:0310,0.0,0.0,4.28,1.59,0.0
20110101:0410,0.0,0.0,4.5,1.45,0.0
20110101:0510,0.0,0.0,4.35,1.38,0.0
20110101:0610,0.0,0.0,4.18,1.45,0.0
20110101:0710,0.0,0.0,4.62,1.31,0.0
20110101:0810,181.42,4.31,4.86,1.24,0.0
20110101:0910,528.39,12.97,5.61,1.24,0.0
20110101:1010,731.47,19.94,6.73,0.9,0.0
20110101:1110,858.85,24.65,7.55,0.34,0.0
20110101:1210,911.96,26.59,8.05,0.07,0.0
20110101:1310,699.76,25.49,8.66,0.34,0.0
20110101:1410,209.5,21.5,8.97,0.55,0.0
20110101:1510,205.08,15.09,9.07,0.76,0.0
20110101:1610,109.05,6.85,8.98,0.9,0.0
20110101:1710,0.0,0.0,8.4,1.17,0.0
20110101:1810,0.0,0.0,7.41,1.38,0.0
20110101:1910,0.0,0.0,6.48,1.59,0.0
20110101:2010,0.0,0.0,5.25,1.66,0.0
20110101:2110,0.0,0.0,4.44,1.66,0.0
20110101:2210,0.0,0.0,3.94,1.45,0.0
20110101:2310,0.0,0.0,3.72,1.24,0.0
20110102:0010,0.0,0.0,4.46,0.9,0.0
20110102:0110,0.0,0.0,3.8,0.9,0.0
20110102:0210,0.0,0.0,2.64,0.83,0.0
20110102:0310,0.0,0.0,1.73,0.9,0.0
20110102:0410,0.0,0.0,1.25,0.97,0.0
20110102:0510,0.0,0.0,1.56,1.17,0.0
20110102:0610,0.0,0.0,1.77,1.1,0.0
20110102:0710,0.0,0.0,1.57,1.1,0.0
20110102:0810,100.87,4.31,1.69,0.9,0.0
20110102:0910,232.29,12.98,3.01,0.62,0.0
20110102:1010,716.97,19.97,4.88,0.41,0.0
20110102:1110,852.39,24.71,6.89,0.14,0.0
20110102:1210,898.73,26.67,8.48,0.48,0.0
20110102:1310,821.33,25.59,9.89,0.9,0.0
20110102:1410,671.0,21.61,10.73,1.38,0.0
20110102:1510,132.23,15.22,10.92,1.24,0.0
20110102:1610,68.25,6.98,10.74,1.03,0.0
20110102:1710,0.0,0.0,9.46,1.52,0.0
20110102:1810,0.0,0.0,7.41,1.86,0.0
20110102:1910,0.0,0.0,6.17,1.59,0.0
20110102:2010,0.0,0.0,5.27,1.45,0.0
20110102:2110,0.0,0.0,4.25,1.38,0.0
20110102:2210,0.0,0.0,3.28,1.38,0.0
20110102:2310,0.0,0.0,2.75,1.24,0.0
20110103:0010,0.0,0.0,2.67,1.1,0.0
20110103:0110,0.0,0.0,2.46,1.1,0.0
20110103:0210,0.0,0.0,1.99,1.03,0.0
20110103:0310,0.0,0.0,1.94,0.97,0.0
20110103:0410,0.0,0.0,1.87,0.76,0.0
20110103:0510,0.0,0.0,1.66,0.69,0.0
20110103:0610,0.0,0.0,1.28,0.69,0.0
20110103:0710,0.0,0.0,1.03,0.55,0.0
20110103:0810,195.86,4.31,0.87,0.41,0.0
20110103:0910,494.89,13.0,1.63,0.21,0.0
20110103:1010,730.81,20.01,4.06,0.21,0.0
20110103:1110,852.71,24.78,6.27,0.48,0.0
20110103:1210,907.34,26.76,7.9,0.83,0.0
20110103:1310,883.34,25.7,8.83,1.1,0.0
